P=2.0 I=0.0 D=0.0
Time,Temperature
2019-11-25 19:10:07,31.85
2019-11-25 19:10:09,31.85
2019-11-25 19:10:11,31.86
2019-11-25 19:10:14,31.86
2019-11-25 19:10:16,31.87
2019-11-25 19:10:18,31.87
2019-11-25 19:10:20,31.87
2019-11-25 19:10:22,31.88
2019-11-25 19:10:24,31.88
2019-11-25 19:10:27,31.89
2019-11-25 19:10:29,31.9
2019-11-25 19:10:31,31.9
2019-11-25 19:10:33,31.9
2019-11-25 19:10:35,31.91
2019-11-25 19:10:38,31.91
2019-11-25 19:10:40,31.91
2019-11-25 19:10:42,31.92
2019-11-25 19:10:44,31.92
2019-11-25 19:10:46,31.92
2019-11-25 19:10:49,31.93
2019-11-25 19:10:51,31.93
2019-11-25 19:10:53,31.93
2019-11-25 19:10:55,31.93
2019-11-25 19:10:57,31.93
2019-11-25 19:10:59,31.94
2019-11-25 19:11:02,31.94
2019-11-25 19:11:04,31.94
2019-11-25 19:11:06,31.95
2019-11-25 19:11:08,31.95
2019-11-25 19:11:10,31.95
2019-11-25 19:11:13,31.95
2019-11-25 19:11:15,31.95
2019-11-25 19:11:17,31.95
2019-11-25 19:11:19,31.95
2019-11-25 19:11:21,31.95
2019-11-25 19:11:23,31.95
2019-11-25 19:11:26,31.95
2019-11-25 19:11:28,31.95
2019-11-25 19:11:30,31.94
2019-11-25 19:11:32,31.94
2019-11-25 19:11:35,31.94
2019-11-25 19:11:37,31.94
2019-11-25 19:11:39,31.93
2019-11-25 19:11:41,31.93
2019-11-25 19:11:43,31.93
2019-11-25 19:11:46,31.93
2019-11-25 19:11:48,31.92
2019-11-25 19:11:50,31.92
2019-11-25 19:11:52,31.92
2019-11-25 19:11:54,31.91
2019-11-25 19:11:57,31.91
2019-11-25 19:11:59,31.9
2019-11-25 19:12:01,31.9
2019-11-25 19:12:03,31.9
2019-11-25 19:12:05,31.9
2019-11-25 19:12:08,31.88
2019-11-25 19:12:10,31.88
2019-11-25 19:12:12,31.88
2019-11-25 19:12:14,31.87
2019-11-25 19:12:16,31.87
2019-11-25 19:12:19,31.87
2019-11-25 19:12:21,31.86
2019-11-25 19:12:23,31.86
2019-11-25 19:12:25,31.85
2019-11-25 19:12:28,31.85
2019-11-25 19:12:30,31.85
2019-11-25 19:12:32,31.84
2019-11-25 19:12:34,31.83
2019-11-25 19:12:36,31.83
2019-11-25 19:12:39,31.83
2019-11-25 19:12:41,31.82
2019-11-25 19:12:43,31.82
2019-11-25 19:12:45,31.82
2019-11-25 19:12:47,31.81
2019-11-25 19:12:50,31.81
2019-11-25 19:12:52,31.81
2019-11-25 19:12:54,31.8
2019-11-25 19:12:56,31.8
2019-11-25 19:12:58,31.8
2019-11-25 19:13:01,31.8
2019-11-25 19:13:03,31.79
2019-11-25 19:13:05,31.79
2019-11-25 19:13:07,31.79
2019-11-25 19:13:09,31.78
2019-11-25 19:13:12,31.78
2019-11-25 19:13:14,31.78
2019-11-25 19:13:16,31.78
2019-11-25 19:13:18,31.78
2019-11-25 19:13:20,31.78
2019-11-25 19:13:23,31.78
2019-11-25 19:13:25,31.78
2019-11-25 19:13:27,31.78
2019-11-25 19:13:29,31.78
2019-11-25 19:13:31,31.78
2019-11-25 19:13:34,31.78
2019-11-25 19:13:36,31.79
2019-11-25 19:13:38,31.79
2019-11-25 19:13:40,31.79
2019-11-25 19:13:42,31.79
2019-11-25 19:13:45,31.8
2019-11-25 19:13:47,31.8
2019-11-25 19:13:49,31.8
2019-11-25 19:13:51,31.81
2019-11-25 19:13:54,31.81
2019-11-25 19:13:56,31.81
2019-11-25 19:13:58,31.81
2019-11-25 19:14:00,31.82
2019-11-25 19:14:02,31.82
2019-11-25 19:14:05,31.83
2019-11-25 19:14:07,31.83
2019-11-25 19:14:09,31.83
2019-11-25 19:14:11,31.83
2019-11-25 19:14:13,31.84
2019-11-25 19:14:16,31.85
2019-11-25 19:14:18,31.85
2019-11-25 19:14:20,31.86
2019-11-25 19:14:22,31.86
2019-11-25 19:14:24,31.86
2019-11-25 19:14:27,31.87
2019-11-25 19:14:29,31.87
2019-11-25 19:14:31,31.88
2019-11-25 19:14:33,31.88
2019-11-25 19:14:35,31.88
2019-11-25 19:14:38,31.89
2019-11-25 19:14:40,31.9
2019-11-25 19:14:42,31.9
2019-11-25 19:14:44,31.9
2019-11-25 19:14:46,31.91
2019-11-25 19:14:48,31.91
2019-11-25 19:14:51,31.91
2019-11-25 19:14:53,31.92
2019-11-25 19:14:55,31.92
2019-11-25 19:14:57,31.92
2019-11-25 19:14:59,31.93
2019-11-25 19:15:02,31.93
2019-11-25 19:15:04,31.93
2019-11-25 19:15:06,31.93
2019-11-25 19:15:08,31.93
2019-11-25 19:15:10,31.94
2019-11-25 19:15:12,31.94
2019-11-25 19:15:15,31.94
2019-11-25 19:15:17,31.94
2019-11-25 19:15:19,31.94
2019-11-25 19:15:21,31.95
2019-11-25 19:15:23,31.95
2019-11-25 19:15:26,31.95
2019-11-25 19:15:28,31.95
2019-11-25 19:15:30,31.95
2019-11-25 19:15:32,31.95
2019-11-25 19:15:34,31.95
2019-11-25 19:15:36,31.95
